,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
0,2003,AFG,Afghanistan,LBN,Lebanon,FIN,Finland,1.0,[65. 33.],[35.8333 33.8333],[26. 64.]
1,2003,AFG,Afghanistan,SYR,Syrian Arab Rep.,USA,United States of America,4.0,[65. 33.],0.0,0.0
2,2003,COD,Dem. Rep. of the Congo,EGY,Egypt,CAN,Canada,1.0,,[30. 27.],[-95.  60.]
3,2003,ERI,Eritrea,EGY,Egypt,USA,United States of America,14.0,[39. 15.],[30. 27.],
4,2003,ERI,Eritrea,LBN,Lebanon,CAN,Canada,2.0,[39. 15.],[35.8333 33.8333],[-95.  60.]
5,2003,IRN,Iran (Islamic Rep. of),JOR,Jordan,SWE,Sweden,10.0,,[36. 31.],[15. 62.]
6,2003,IRN,Iran (Islamic Rep. of),LBN,Lebanon,CAN,Canada,1.0,,[35.8333 33.8333],[-95.  60.]
7,2003,IRN,Iran (Islamic Rep. of),LBN,Lebanon,FIN,Finland,1.0,,[35.8333 33.8333],[26. 64.]
8,2003,IRQ,Iraq,EGY,Egypt,CAN,Canada,1.0,[44. 33.],[30. 27.],[-95.  60.]
9,2003,IRQ,Iraq,JOR,Jordan,AUS,Australia,72.0,[44. 33.],[36. 31.],[133. -27.]
10,2003,IRQ,Iraq,JOR,Jordan,BRA,Brazil,6.0,[44. 33.],[36. 31.],[-55. -10.]
11,2003,IRQ,Iraq,JOR,Jordan,CAN,Canada,106.0,[44. 33.],[36. 31.],[-95.  60.]
12,2003,IRQ,Iraq,JOR,Jordan,DEU,Germany,3.0,[44. 33.],[36. 31.],[ 9. 51.]
13,2003,IRQ,Iraq,JOR,Jordan,DNK,Denmark,10.0,[44. 33.],[36. 31.],[10. 56.]
14,2003,IRQ,Iraq,JOR,Jordan,GBR,United Kingdom of Great Britain and Northern Ireland,18.0,[44. 33.],[36. 31.],
15,2003,IRQ,Iraq,JOR,Jordan,IRL,Ireland,1.0,[44. 33.],[36. 31.],[-8. 53.]
16,2003,IRQ,Iraq,JOR,Jordan,ITA,Italy,21.0,[44. 33.],[36. 31.],[12.8333 42.8333]
17,2003,IRQ,Iraq,JOR,Jordan,NOR,Norway,3.0,[44. 33.],[36. 31.],[10. 62.]
18,2003,IRQ,Iraq,JOR,Jordan,NZL,New Zealand,32.0,[44. 33.],[36. 31.],[174. -41.]
19,2003,IRQ,Iraq,JOR,Jordan,SWE,Sweden,23.0,[44. 33.],[36. 31.],[15. 62.]
20,2003,IRQ,Iraq,JOR,Jordan,USA,United States of America,36.0,[44. 33.],[36. 31.],
21,2003,IRQ,Iraq,KWT,Kuwait,FRA,France,1.0,[44. 33.],[47.6581 29.3375],[ 2. 46.]
22,2003,IRQ,Iraq,LBN,Lebanon,AUS,Australia,18.0,[44. 33.],[35.8333 33.8333],[133. -27.]
23,2003,IRQ,Iraq,LBN,Lebanon,FIN,Finland,5.0,[44. 33.],[35.8333 33.8333],[26. 64.]
24,2003,IRQ,Iraq,LBN,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,16.0,[44. 33.],[35.8333 33.8333],
25,2003,IRQ,Iraq,LBN,Lebanon,NLD,Netherlands,1.0,[44. 33.],[35.8333 33.8333],[ 5.75 52.5 ]
26,2003,IRQ,Iraq,LBN,Lebanon,SWE,Sweden,1.0,[44. 33.],[35.8333 33.8333],[15. 62.]
27,2003,IRQ,Iraq,SAU,Saudi Arabia,NLD,Netherlands,2.0,[44. 33.],[45. 25.],[ 5.75 52.5 ]
28,2003,IRQ,Iraq,SAU,Saudi Arabia,NOR,Norway,2.0,[44. 33.],[45. 25.],[10. 62.]
29,2003,IRQ,Iraq,SAU,Saudi Arabia,SWE,Sweden,1.0,[44. 33.],[45. 25.],[15. 62.]
30,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,CAN,Canada,29.0,[44. 33.],,[-95.  60.]
31,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,CHE,Switzerland,1.0,[44. 33.],,[ 8. 47.]
32,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,DNK,Denmark,1.0,[44. 33.],,[10. 56.]
33,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,FIN,Finland,6.0,[44. 33.],,[26. 64.]
34,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,15.0,[44. 33.],,
35,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,IRL,Ireland,6.0,[44. 33.],,[-8. 53.]
36,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,NLD,Netherlands,7.0,[44. 33.],,[ 5.75 52.5 ]
37,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,NOR,Norway,7.0,[44. 33.],,[10. 62.]
38,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,SWE,Sweden,9.0,[44. 33.],,[15. 62.]
39,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,USA,United States of America,6.0,[44. 33.],,
40,2003,IRQ,Iraq,YEM,Yemen,NLD,Netherlands,3.0,[44. 33.],[48. 15.],[ 5.75 52.5 ]
41,2003,SDN,Sudan,EGY,Egypt,AUS,Australia,627.0,[30. 15.],[30. 27.],[133. -27.]
42,2003,SDN,Sudan,EGY,Egypt,CAN,Canada,566.0,[30. 15.],[30. 27.],[-95.  60.]
43,2003,SDN,Sudan,EGY,Egypt,FIN,Finland,232.0,[30. 15.],[30. 27.],[26. 64.]
44,2003,SDN,Sudan,EGY,Egypt,NLD,Netherlands,2.0,[30. 15.],[30. 27.],[ 5.75 52.5 ]
45,2003,SDN,Sudan,EGY,Egypt,USA,United States of America,1830.0,[30. 15.],[30. 27.],
46,2003,SDN,Sudan,JOR,Jordan,USA,United States of America,37.0,[30. 15.],[36. 31.],
47,2003,SDN,Sudan,LBN,Lebanon,AUS,Australia,14.0,[30. 15.],[35.8333 33.8333],[133. -27.]
48,2003,SDN,Sudan,LBN,Lebanon,CAN,Canada,34.0,[30. 15.],[35.8333 33.8333],[-95.  60.]
49,2003,SDN,Sudan,LBN,Lebanon,FIN,Finland,145.0,[30. 15.],[35.8333 33.8333],[26. 64.]
50,2003,SDN,Sudan,LBN,Lebanon,NOR,Norway,86.0,[30. 15.],[35.8333 33.8333],[10. 62.]
51,2003,SDN,Sudan,LBN,Lebanon,USA,United States of America,28.0,[30. 15.],[35.8333 33.8333],
52,2003,SDN,Sudan,SYR,Syrian Arab Rep.,CAN,Canada,3.0,[30. 15.],,[-95.  60.]
53,2003,SDN,Sudan,SYR,Syrian Arab Rep.,NOR,Norway,2.0,[30. 15.],,[10. 62.]
54,2003,SDN,Sudan,SYR,Syrian Arab Rep.,SWE,Sweden,5.0,[30. 15.],,[15. 62.]
55,2003,SDN,Sudan,SYR,Syrian Arab Rep.,USA,United States of America,107.0,[30. 15.],,
56,2003,SOM,Somalia,EGY,Egypt,AUS,Australia,12.0,[49. 10.],[30. 27.],[133. -27.]
57,2003,SOM,Somalia,EGY,Egypt,CAN,Canada,23.0,[49. 10.],[30. 27.],[-95.  60.]
58,2003,SOM,Somalia,EGY,Egypt,USA,United States of America,119.0,[49. 10.],[30. 27.],
59,2003,SOM,Somalia,JOR,Jordan,NLD,Netherlands,2.0,[49. 10.],[36. 31.],[ 5.75 52.5 ]
60,2003,SOM,Somalia,JOR,Jordan,NOR,Norway,6.0,[49. 10.],[36. 31.],[10. 62.]
61,2003,SOM,Somalia,JOR,Jordan,SWE,Sweden,1.0,[49. 10.],[36. 31.],[15. 62.]
62,2003,SOM,Somalia,JOR,Jordan,USA,United States of America,43.0,[49. 10.],[36. 31.],
63,2003,SOM,Somalia,LBN,Lebanon,AUS,Australia,3.0,[49. 10.],[35.8333 33.8333],[133. -27.]
64,2003,SOM,Somalia,LBN,Lebanon,CAN,Canada,21.0,[49. 10.],[35.8333 33.8333],[-95.  60.]
65,2003,SOM,Somalia,LBN,Lebanon,FIN,Finland,24.0,[49. 10.],[35.8333 33.8333],[26. 64.]
66,2003,SOM,Somalia,LBN,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,2.0,[49. 10.],[35.8333 33.8333],
67,2003,SOM,Somalia,LBN,Lebanon,USA,United States of America,8.0,[49. 10.],[35.8333 33.8333],
68,2003,SOM,Somalia,SAU,Saudi Arabia,CAN,Canada,4.0,[49. 10.],[45. 25.],[-95.  60.]
69,2003,SOM,Somalia,SYR,Syrian Arab Rep.,CAN,Canada,1.0,[49. 10.],,[-95.  60.]
70,2003,SOM,Somalia,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,6.0,[49. 10.],,
71,2003,SOM,Somalia,SYR,Syrian Arab Rep.,SWE,Sweden,1.0,[49. 10.],,[15. 62.]
72,2003,SOM,Somalia,SYR,Syrian Arab Rep.,USA,United States of America,103.0,[49. 10.],,
73,2003,SOM,Somalia,YEM,Yemen,GBR,United Kingdom of Great Britain and Northern Ireland,3.0,[49. 10.],[48. 15.],
74,2003,SYR,Syrian Arab Rep.,EGY,Egypt,CAN,Canada,5.0,,[30. 27.],[-95.  60.]
75,2003,SYR,Syrian Arab Rep.,JOR,Jordan,CAN,Canada,6.0,,[36. 31.],[-95.  60.]
76,2003,SYR,Syrian Arab Rep.,JOR,Jordan,NZL,New Zealand,8.0,,[36. 31.],[174. -41.]
77,2003,SYR,Syrian Arab Rep.,JOR,Jordan,SWE,Sweden,2.0,,[36. 31.],[15. 62.]
78,2003,SYR,Syrian Arab Rep.,JOR,Jordan,USA,United States of America,4.0,,[36. 31.],
79,2003,SYR,Syrian Arab Rep.,SAU,Saudi Arabia,NLD,Netherlands,1.0,,[45. 25.],[ 5.75 52.5 ]
80,2003,SYR,Syrian Arab Rep.,SAU,Saudi Arabia,NOR,Norway,1.0,,[45. 25.],[10. 62.]
81,2003,AFG,Afghanistan,All others,All others,AUS,Australia,479.0,[65. 33.],,[133. -27.]
82,2003,AFG,Afghanistan,All others,All others,AUT,Austria,3.0,[65. 33.],,[13.3333 47.3333]
83,2003,AFG,Afghanistan,All others,All others,BRA,Brazil,7.0,[65. 33.],,[-55. -10.]
84,2003,AFG,Afghanistan,All others,All others,CAN,Canada,1533.0,[65. 33.],,[-95.  60.]
85,2003,AFG,Afghanistan,All others,All others,DNK,Denmark,55.0,[65. 33.],,[10. 56.]
86,2003,AFG,Afghanistan,All others,All others,FIN,Finland,298.0,[65. 33.],,[26. 64.]
87,2003,AFG,Afghanistan,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,32.0,[65. 33.],,
88,2003,AFG,Afghanistan,All others,All others,NLD,Netherlands,78.0,[65. 33.],,[ 5.75 52.5 ]
89,2003,AFG,Afghanistan,All others,All others,NOR,Norway,95.0,[65. 33.],,[10. 62.]
90,2003,AFG,Afghanistan,All others,All others,NZL,New Zealand,19.0,[65. 33.],,[174. -41.]
