,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
0,2003,COD,Dem. Rep. of the Congo,KEN,Kenya,USA,United States of America,17,0.0,[38.  1.],0.0
1,2003,SOM,Somalia,TZA,United Rep. of Tanzania,CAN,Canada,7,[49. 10.],0.0,[-95.  60.]
2,2003,SDN,Sudan,UGA,Uganda,AUS,Australia,76,[30. 15.],[32.  1.],[133. -27.]
3,2003,COD,Dem. Rep. of the Congo,UGA,Uganda,NOR,Norway,7,,[32.  1.],[10. 62.]
4,2003,SOM,Somalia,KEN,Kenya,NZL,New Zealand,12,[49. 10.],[38.  1.],[174. -41.]
5,2003,ERI,Eritrea,KEN,Kenya,USA,United States of America,8,[39. 15.],[38.  1.],
6,2003,SDN,Sudan,TZA,United Rep. of Tanzania,CAN,Canada,5,[30. 15.],,[-95.  60.]
7,2003,SDN,Sudan,KEN,Kenya,NZL,New Zealand,64,[30. 15.],[38.  1.],[174. -41.]
8,2003,SOM,Somalia,KEN,Kenya,USA,United States of America,1437,[49. 10.],[38.  1.],
9,2003,COD,Dem. Rep. of the Congo,UGA,Uganda,CAN,Canada,130,,[32.  1.],[-95.  60.]
10,2003,COD,Dem. Rep. of the Congo,COG,Congo,NLD,Netherlands,1,,[15. -1.],[ 5.75 52.5 ]
11,2003,ERI,Eritrea,SDN,Sudan,DNK,Denmark,18,[39. 15.],[30. 15.],[10. 56.]
12,2003,ERI,Eritrea,SDN,Sudan,NZL,New Zealand,28,[39. 15.],[30. 15.],[174. -41.]
13,2003,SDN,Sudan,KEN,Kenya,USA,United States of America,93,[30. 15.],[38.  1.],
14,2003,ERI,Eritrea,SDN,Sudan,NLD,Netherlands,30,[39. 15.],[30. 15.],[ 5.75 52.5 ]
15,2003,SOM,Somalia,UGA,Uganda,CAN,Canada,13,[49. 10.],[32.  1.],[-95.  60.]
16,2003,COD,Dem. Rep. of the Congo,KEN,Kenya,AUS,Australia,6,,[38.  1.],[133. -27.]
17,2003,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,USA,United States of America,224,,,
18,2003,SDN,Sudan,UGA,Uganda,CAN,Canada,48,[30. 15.],[32.  1.],[-95.  60.]
19,2003,SOM,Somalia,KEN,Kenya,AUS,Australia,238,[49. 10.],[38.  1.],[133. -27.]
20,2003,COD,Dem. Rep. of the Congo,UGA,Uganda,USA,United States of America,23,,[32.  1.],
21,2003,COD,Dem. Rep. of the Congo,KEN,Kenya,CAN,Canada,2,,[38.  1.],[-95.  60.]
22,2003,ERI,Eritrea,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,1,[39. 15.],[30. 15.],
23,2003,ERI,Eritrea,KEN,Kenya,CAN,Canada,7,[39. 15.],[38.  1.],[-95.  60.]
24,2003,SDN,Sudan,KEN,Kenya,AUS,Australia,293,[30. 15.],[38.  1.],[133. -27.]
25,2003,SOM,Somalia,UGA,Uganda,USA,United States of America,54,[49. 10.],[32.  1.],
26,2003,COD,Dem. Rep. of the Congo,COG,Congo,SWE,Sweden,7,,[15. -1.],[15. 62.]
27,2003,SOM,Somalia,KEN,Kenya,CAN,Canada,523,[49. 10.],[38.  1.],[-95.  60.]
28,2003,ERI,Eritrea,SDN,Sudan,AUS,Australia,24,[39. 15.],[30. 15.],[133. -27.]
29,2003,SDN,Sudan,UGA,Uganda,USA,United States of America,11,[30. 15.],[32.  1.],
30,2003,COD,Dem. Rep. of the Congo,KEN,Kenya,SWE,Sweden,5,,[38.  1.],[15. 62.]
31,2003,SDN,Sudan,KEN,Kenya,CAN,Canada,557,[30. 15.],[38.  1.],[-95.  60.]
32,2003,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,AUS,Australia,12,,,[133. -27.]
33,2003,ERI,Eritrea,KEN,Kenya,SWE,Sweden,1,[39. 15.],[38.  1.],[15. 62.]
34,2003,COD,Dem. Rep. of the Congo,COG,Congo,USA,United States of America,5,,[15. -1.],
35,2003,ERI,Eritrea,SDN,Sudan,CAN,Canada,18,[39. 15.],[30. 15.],[-95.  60.]
36,2003,COD,Dem. Rep. of the Congo,UGA,Uganda,AUS,Australia,31,,[32.  1.],[133. -27.]
37,2003,COD,Dem. Rep. of the Congo,COG,Congo,FIN,Finland,13,,[15. -1.],[26. 64.]
38,2003,ERI,Eritrea,SDN,Sudan,SWE,Sweden,55,[39. 15.],[30. 15.],[15. 62.]
39,2003,SDN,Sudan,COD,Dem. Rep. of the Congo,USA,United States of America,3,[30. 15.],,
40,2003,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,CAN,Canada,95,,,[-95.  60.]
41,2003,SOM,Somalia,UGA,Uganda,AUS,Australia,17,[49. 10.],[32.  1.],[133. -27.]
42,2003,ERI,Eritrea,SDN,Sudan,FIN,Finland,56,[39. 15.],[30. 15.],[26. 64.]
43,2003,ERI,Eritrea,SDN,Sudan,NOR,Norway,81,[39. 15.],[30. 15.],[10. 62.]
44,2003,COD,Dem. Rep. of the Congo,KEN,Kenya,NZL,New Zealand,3,,[38.  1.],[174. -41.]
45,2004,SDN,Sudan,KEN,Kenya,USA,United States of America,232,[30. 15.],[38.  1.],
46,2004,COD,Dem. Rep. of the Congo,COG,Congo,SWE,Sweden,7,,[15. -1.],[15. 62.]
47,2004,SOM,Somalia,ETH,Ethiopia,USA,United States of America,33,[49. 10.],[38.  8.],
48,2004,SDN,Sudan,ERI,Eritrea,FIN,Finland,2,[30. 15.],[39. 15.],[26. 64.]
49,2004,SOM,Somalia,KEN,Kenya,CAN,Canada,400,[49. 10.],[38.  1.],[-95.  60.]
50,2004,SDN,Sudan,UGA,Uganda,AUS,Australia,33,[30. 15.],[32.  1.],[133. -27.]
51,2004,ERI,Eritrea,SDN,Sudan,USA,United States of America,1,[39. 15.],[30. 15.],
52,2004,SDN,Sudan,ERI,Eritrea,SWE,Sweden,2,[30. 15.],[39. 15.],[15. 62.]
53,2004,ERI,Eritrea,ETH,Ethiopia,AUS,Australia,6,[39. 15.],[38.  8.],[133. -27.]
54,2004,COD,Dem. Rep. of the Congo,BDI,Burundi,NOR,Norway,13,,[30.  -3.5],[10. 62.]
55,2004,SDN,Sudan,KEN,Kenya,CAN,Canada,80,[30. 15.],[38.  1.],[-95.  60.]
56,2004,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,USA,United States of America,66,,,
57,2004,SOM,Somalia,ETH,Ethiopia,SWE,Sweden,38,[49. 10.],[38.  8.],[15. 62.]
58,2004,SOM,Somalia,ETH,Ethiopia,AUS,Australia,10,[49. 10.],[38.  8.],[133. -27.]
59,2004,COD,Dem. Rep. of the Congo,COG,Congo,NOR,Norway,11,,[15. -1.],[10. 62.]
60,2004,ERI,Eritrea,SDN,Sudan,CAN,Canada,21,[39. 15.],[30. 15.],[-95.  60.]
61,2004,COD,Dem. Rep. of the Congo,UGA,Uganda,USA,United States of America,8,,[32.  1.],
62,2004,SDN,Sudan,ETH,Ethiopia,SWE,Sweden,3,[30. 15.],[38.  8.],[15. 62.]
63,2004,SDN,Sudan,ETH,Ethiopia,AUS,Australia,8,[30. 15.],[38.  8.],[133. -27.]
