,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
223,2006,SOM,Somalia,ETH,Ethiopia,NZL,New Zealand,6,"[49.0, 10.0]","[38.0, 8.0]","[174.0, -41.0]"
224,2006,SOM,Somalia,ERI,Eritrea,FIN,Finland,8,"[49.0, 10.0]","[39.0, 15.0]","[26.0, 64.0]"
225,2006,COD,Dem. Rep. of the Congo,BDI,Burundi,NLD,Netherlands,5,"[25.0, 0.0]","[30.0, -3.5]","[5.75, 52.5]"
226,2006,SDN,Sudan,KEN,Kenya,CAN,Canada,29,"[30.0, 15.0]","[38.0, 1.0]","[-95.0, 60.0]"
227,2006,SOM,Somalia,ETH,Ethiopia,NOR,Norway,24,"[49.0, 10.0]","[38.0, 8.0]","[10.0, 62.0]"
228,2006,COD,Dem. Rep. of the Congo,COG,Congo,CAN,Canada,43,"[25.0, 0.0]","[15.0, -1.0]","[-95.0, 60.0]"
229,2006,SDN,Sudan,UGA,Uganda,NLD,Netherlands,7,"[30.0, 15.0]","[32.0, 1.0]","[5.75, 52.5]"
230,2006,ERI,Eritrea,KEN,Kenya,USA,United States of America,23,"[39.0, 15.0]","[38.0, 1.0]","[-97.0, 38.0]"
231,2006,COD,Dem. Rep. of the Congo,BDI,Burundi,IRL,Ireland,9,"[25.0, 0.0]","[30.0, -3.5]","[-8.0, 53.0]"
232,2006,SDN,Sudan,ETH,Ethiopia,AUS,Australia,38,"[30.0, 15.0]","[38.0, 8.0]","[133.0, -27.0]"
233,2006,SDN,Sudan,KEN,Kenya,NZL,New Zealand,3,"[30.0, 15.0]","[38.0, 1.0]","[174.0, -41.0]"
234,2006,SOM,Somalia,ETH,Ethiopia,FIN,Finland,5,"[49.0, 10.0]","[38.0, 8.0]","[26.0, 64.0]"
235,2006,COD,Dem. Rep. of the Congo,COG,Congo,NLD,Netherlands,7,"[25.0, 0.0]","[15.0, -1.0]","[5.75, 52.5]"
236,2006,COD,Dem. Rep. of the Congo,RWA,Rwanda,CAN,Canada,99,"[25.0, 0.0]","[30.0, -2.0]","[-95.0, 60.0]"
237,2006,COD,Dem. Rep. of the Congo,BDI,Burundi,SWE,Sweden,6,"[25.0, 0.0]","[30.0, -3.5]","[15.0, 62.0]"
238,2006,COD,Dem. Rep. of the Congo,RWA,Rwanda,NOR,Norway,15,"[25.0, 0.0]","[30.0, -2.0]","[10.0, 62.0]"
