,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
0,2003,AFG,Afghanistan,LBN,Lebanon,FIN,Finland,1.0,"[65.0, 33.0]","[35.8333, 33.8333]","[26.0, 64.0]"
1,2003,AFG,Afghanistan,SYR,Syrian Arab Rep.,USA,United States of America,4.0,"[65.0, 33.0]","[38.0, 35.0]","[-97.0, 38.0]"
2,2003,COD,Dem. Rep. of the Congo,EGY,Egypt,CAN,Canada,1.0,"[25.0, 0.0]","[30.0, 27.0]","[-95.0, 60.0]"
3,2003,ERI,Eritrea,EGY,Egypt,USA,United States of America,14.0,"[39.0, 15.0]","[30.0, 27.0]","[-97.0, 38.0]"
4,2003,ERI,Eritrea,LBN,Lebanon,CAN,Canada,2.0,"[39.0, 15.0]","[35.8333, 33.8333]","[-95.0, 60.0]"
5,2003,IRN,Iran (Islamic Rep. of),JOR,Jordan,SWE,Sweden,10.0,"[53.0, 32.0]","[36.0, 31.0]","[15.0, 62.0]"
6,2003,IRN,Iran (Islamic Rep. of),LBN,Lebanon,CAN,Canada,1.0,"[53.0, 32.0]","[35.8333, 33.8333]","[-95.0, 60.0]"
7,2003,IRN,Iran (Islamic Rep. of),LBN,Lebanon,FIN,Finland,1.0,"[53.0, 32.0]","[35.8333, 33.8333]","[26.0, 64.0]"
8,2003,IRQ,Iraq,EGY,Egypt,CAN,Canada,1.0,"[44.0, 33.0]","[30.0, 27.0]","[-95.0, 60.0]"
9,2003,IRQ,Iraq,JOR,Jordan,AUS,Australia,72.0,"[44.0, 33.0]","[36.0, 31.0]","[133.0, -27.0]"
10,2003,IRQ,Iraq,JOR,Jordan,BRA,Brazil,6.0,"[44.0, 33.0]","[36.0, 31.0]","[-55.0, -10.0]"
11,2003,IRQ,Iraq,JOR,Jordan,CAN,Canada,106.0,"[44.0, 33.0]","[36.0, 31.0]","[-95.0, 60.0]"
12,2003,IRQ,Iraq,JOR,Jordan,DEU,Germany,3.0,"[44.0, 33.0]","[36.0, 31.0]","[9.0, 51.0]"
13,2003,IRQ,Iraq,JOR,Jordan,DNK,Denmark,10.0,"[44.0, 33.0]","[36.0, 31.0]","[10.0, 56.0]"
14,2003,IRQ,Iraq,JOR,Jordan,GBR,United Kingdom of Great Britain and Northern Ireland,18.0,"[44.0, 33.0]","[36.0, 31.0]","[-2.0, 54.0]"
15,2003,IRQ,Iraq,JOR,Jordan,IRL,Ireland,1.0,"[44.0, 33.0]","[36.0, 31.0]","[-8.0, 53.0]"
16,2003,IRQ,Iraq,JOR,Jordan,ITA,Italy,21.0,"[44.0, 33.0]","[36.0, 31.0]","[12.8333, 42.8333]"
17,2003,IRQ,Iraq,JOR,Jordan,NOR,Norway,3.0,"[44.0, 33.0]","[36.0, 31.0]","[10.0, 62.0]"
18,2003,IRQ,Iraq,JOR,Jordan,NZL,New Zealand,32.0,"[44.0, 33.0]","[36.0, 31.0]","[174.0, -41.0]"
19,2003,IRQ,Iraq,JOR,Jordan,SWE,Sweden,23.0,"[44.0, 33.0]","[36.0, 31.0]","[15.0, 62.0]"
20,2003,IRQ,Iraq,JOR,Jordan,USA,United States of America,36.0,"[44.0, 33.0]","[36.0, 31.0]","[-97.0, 38.0]"
21,2003,IRQ,Iraq,KWT,Kuwait,FRA,France,1.0,"[44.0, 33.0]","[47.6581, 29.3375]","[2.0, 46.0]"
22,2003,IRQ,Iraq,LBN,Lebanon,AUS,Australia,18.0,"[44.0, 33.0]","[35.8333, 33.8333]","[133.0, -27.0]"
23,2003,IRQ,Iraq,LBN,Lebanon,FIN,Finland,5.0,"[44.0, 33.0]","[35.8333, 33.8333]","[26.0, 64.0]"
24,2003,IRQ,Iraq,LBN,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,16.0,"[44.0, 33.0]","[35.8333, 33.8333]","[-2.0, 54.0]"
25,2003,IRQ,Iraq,LBN,Lebanon,NLD,Netherlands,1.0,"[44.0, 33.0]","[35.8333, 33.8333]","[5.75, 52.5]"
26,2003,IRQ,Iraq,LBN,Lebanon,SWE,Sweden,1.0,"[44.0, 33.0]","[35.8333, 33.8333]","[15.0, 62.0]"
27,2003,IRQ,Iraq,SAU,Saudi Arabia,NLD,Netherlands,2.0,"[44.0, 33.0]","[45.0, 25.0]","[5.75, 52.5]"
28,2003,IRQ,Iraq,SAU,Saudi Arabia,NOR,Norway,2.0,"[44.0, 33.0]","[45.0, 25.0]","[10.0, 62.0]"
29,2003,IRQ,Iraq,SAU,Saudi Arabia,SWE,Sweden,1.0,"[44.0, 33.0]","[45.0, 25.0]","[15.0, 62.0]"
30,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,CAN,Canada,29.0,"[44.0, 33.0]","[38.0, 35.0]","[-95.0, 60.0]"
31,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,CHE,Switzerland,1.0,"[44.0, 33.0]","[38.0, 35.0]","[8.0, 47.0]"
32,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,DNK,Denmark,1.0,"[44.0, 33.0]","[38.0, 35.0]","[10.0, 56.0]"
33,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,FIN,Finland,6.0,"[44.0, 33.0]","[38.0, 35.0]","[26.0, 64.0]"
34,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,15.0,"[44.0, 33.0]","[38.0, 35.0]","[-2.0, 54.0]"
35,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,IRL,Ireland,6.0,"[44.0, 33.0]","[38.0, 35.0]","[-8.0, 53.0]"
36,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,NLD,Netherlands,7.0,"[44.0, 33.0]","[38.0, 35.0]","[5.75, 52.5]"
37,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,NOR,Norway,7.0,"[44.0, 33.0]","[38.0, 35.0]","[10.0, 62.0]"
38,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,SWE,Sweden,9.0,"[44.0, 33.0]","[38.0, 35.0]","[15.0, 62.0]"
39,2003,IRQ,Iraq,SYR,Syrian Arab Rep.,USA,United States of America,6.0,"[44.0, 33.0]","[38.0, 35.0]","[-97.0, 38.0]"
40,2003,IRQ,Iraq,YEM,Yemen,NLD,Netherlands,3.0,"[44.0, 33.0]","[48.0, 15.0]","[5.75, 52.5]"
41,2003,SDN,Sudan,EGY,Egypt,AUS,Australia,627.0,"[30.0, 15.0]","[30.0, 27.0]","[133.0, -27.0]"
42,2003,SDN,Sudan,EGY,Egypt,CAN,Canada,566.0,"[30.0, 15.0]","[30.0, 27.0]","[-95.0, 60.0]"
43,2003,SDN,Sudan,EGY,Egypt,FIN,Finland,232.0,"[30.0, 15.0]","[30.0, 27.0]","[26.0, 64.0]"
44,2003,SDN,Sudan,EGY,Egypt,NLD,Netherlands,2.0,"[30.0, 15.0]","[30.0, 27.0]","[5.75, 52.5]"
45,2003,SDN,Sudan,EGY,Egypt,USA,United States of America,1830.0,"[30.0, 15.0]","[30.0, 27.0]","[-97.0, 38.0]"
46,2003,SDN,Sudan,JOR,Jordan,USA,United States of America,37.0,"[30.0, 15.0]","[36.0, 31.0]","[-97.0, 38.0]"
47,2003,SDN,Sudan,LBN,Lebanon,AUS,Australia,14.0,"[30.0, 15.0]","[35.8333, 33.8333]","[133.0, -27.0]"
48,2003,SDN,Sudan,LBN,Lebanon,CAN,Canada,34.0,"[30.0, 15.0]","[35.8333, 33.8333]","[-95.0, 60.0]"
49,2003,SDN,Sudan,LBN,Lebanon,FIN,Finland,145.0,"[30.0, 15.0]","[35.8333, 33.8333]","[26.0, 64.0]"
50,2003,SDN,Sudan,LBN,Lebanon,NOR,Norway,86.0,"[30.0, 15.0]","[35.8333, 33.8333]","[10.0, 62.0]"
51,2003,SDN,Sudan,LBN,Lebanon,USA,United States of America,28.0,"[30.0, 15.0]","[35.8333, 33.8333]","[-97.0, 38.0]"
52,2003,SDN,Sudan,SYR,Syrian Arab Rep.,CAN,Canada,3.0,"[30.0, 15.0]","[38.0, 35.0]","[-95.0, 60.0]"
53,2003,SDN,Sudan,SYR,Syrian Arab Rep.,NOR,Norway,2.0,"[30.0, 15.0]","[38.0, 35.0]","[10.0, 62.0]"
54,2003,SDN,Sudan,SYR,Syrian Arab Rep.,SWE,Sweden,5.0,"[30.0, 15.0]","[38.0, 35.0]","[15.0, 62.0]"
55,2003,SDN,Sudan,SYR,Syrian Arab Rep.,USA,United States of America,107.0,"[30.0, 15.0]","[38.0, 35.0]","[-97.0, 38.0]"
56,2003,SOM,Somalia,EGY,Egypt,AUS,Australia,12.0,"[49.0, 10.0]","[30.0, 27.0]","[133.0, -27.0]"
57,2003,SOM,Somalia,EGY,Egypt,CAN,Canada,23.0,"[49.0, 10.0]","[30.0, 27.0]","[-95.0, 60.0]"
58,2003,SOM,Somalia,EGY,Egypt,USA,United States of America,119.0,"[49.0, 10.0]","[30.0, 27.0]","[-97.0, 38.0]"
59,2003,SOM,Somalia,JOR,Jordan,NLD,Netherlands,2.0,"[49.0, 10.0]","[36.0, 31.0]","[5.75, 52.5]"
60,2003,SOM,Somalia,JOR,Jordan,NOR,Norway,6.0,"[49.0, 10.0]","[36.0, 31.0]","[10.0, 62.0]"
61,2003,SOM,Somalia,JOR,Jordan,SWE,Sweden,1.0,"[49.0, 10.0]","[36.0, 31.0]","[15.0, 62.0]"
62,2003,SOM,Somalia,JOR,Jordan,USA,United States of America,43.0,"[49.0, 10.0]","[36.0, 31.0]","[-97.0, 38.0]"
63,2003,SOM,Somalia,LBN,Lebanon,AUS,Australia,3.0,"[49.0, 10.0]","[35.8333, 33.8333]","[133.0, -27.0]"
64,2003,SOM,Somalia,LBN,Lebanon,CAN,Canada,21.0,"[49.0, 10.0]","[35.8333, 33.8333]","[-95.0, 60.0]"
65,2003,SOM,Somalia,LBN,Lebanon,FIN,Finland,24.0,"[49.0, 10.0]","[35.8333, 33.8333]","[26.0, 64.0]"
66,2003,SOM,Somalia,LBN,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,2.0,"[49.0, 10.0]","[35.8333, 33.8333]","[-2.0, 54.0]"
67,2003,SOM,Somalia,LBN,Lebanon,USA,United States of America,8.0,"[49.0, 10.0]","[35.8333, 33.8333]","[-97.0, 38.0]"
68,2003,SOM,Somalia,SAU,Saudi Arabia,CAN,Canada,4.0,"[49.0, 10.0]","[45.0, 25.0]","[-95.0, 60.0]"
69,2003,SOM,Somalia,SYR,Syrian Arab Rep.,CAN,Canada,1.0,"[49.0, 10.0]","[38.0, 35.0]","[-95.0, 60.0]"
70,2003,SOM,Somalia,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,6.0,"[49.0, 10.0]","[38.0, 35.0]","[-2.0, 54.0]"
71,2003,SOM,Somalia,SYR,Syrian Arab Rep.,SWE,Sweden,1.0,"[49.0, 10.0]","[38.0, 35.0]","[15.0, 62.0]"
72,2003,SOM,Somalia,SYR,Syrian Arab Rep.,USA,United States of America,103.0,"[49.0, 10.0]","[38.0, 35.0]","[-97.0, 38.0]"
73,2003,SOM,Somalia,YEM,Yemen,GBR,United Kingdom of Great Britain and Northern Ireland,3.0,"[49.0, 10.0]","[48.0, 15.0]","[-2.0, 54.0]"
74,2003,SYR,Syrian Arab Rep.,EGY,Egypt,CAN,Canada,5.0,"[38.0, 35.0]","[30.0, 27.0]","[-95.0, 60.0]"
75,2003,SYR,Syrian Arab Rep.,JOR,Jordan,CAN,Canada,6.0,"[38.0, 35.0]","[36.0, 31.0]","[-95.0, 60.0]"
