,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
0,2003,SOM,Somalia,ZAF,South Africa,AUT,Austria,1,"[49.0, 10.0]","[24.0, -29.0]","[13.3333, 47.3333]"
1,2003,COD,Dem. Rep. of the Congo,AGO,Angola,NLD,Netherlands,2,"[25.0, 0.0]","[18.5, -12.5]","[5.75, 52.5]"
2,2003,COD,Dem. Rep. of the Congo,AGO,Angola,USA,United States of America,2,"[25.0, 0.0]","[18.5, -12.5]","[-97.0, 38.0]"
3,2003,SDN,Sudan,ZMB,Zambia,USA,United States of America,1,"[30.0, 15.0]","[30.0, -15.0]","[-97.0, 38.0]"
4,2003,SDN,Sudan,ZAF,South Africa,NLD,Netherlands,4,"[30.0, 15.0]","[24.0, -29.0]","[5.75, 52.5]"
5,2003,COD,Dem. Rep. of the Congo,ZAF,South Africa,USA,United States of America,8,"[25.0, 0.0]","[24.0, -29.0]","[-97.0, 38.0]"
6,2003,COD,Dem. Rep. of the Congo,AGO,Angola,CAN,Canada,12,"[25.0, 0.0]","[18.5, -12.5]","[-95.0, 60.0]"
7,2003,COD,Dem. Rep. of the Congo,ZMB,Zambia,USA,United States of America,72,"[25.0, 0.0]","[30.0, -15.0]","[-97.0, 38.0]"
8,2003,COD,Dem. Rep. of the Congo,MOZ,Mozambique,CAN,Canada,5,"[25.0, 0.0]","[35.0, -18.25]","[-95.0, 60.0]"
9,2003,COD,Dem. Rep. of the Congo,NAM,Namibia,CAN,Canada,15,"[25.0, 0.0]","[17.0, -22.0]","[-95.0, 60.0]"
10,2003,COD,Dem. Rep. of the Congo,AGO,Angola,SWE,Sweden,4,"[25.0, 0.0]","[18.5, -12.5]","[15.0, 62.0]"
11,2003,COD,Dem. Rep. of the Congo,ZAF,South Africa,CAN,Canada,9,"[25.0, 0.0]","[24.0, -29.0]","[-95.0, 60.0]"
12,2003,COD,Dem. Rep. of the Congo,ZMB,Zambia,AUS,Australia,47,"[25.0, 0.0]","[30.0, -15.0]","[133.0, -27.0]"
13,2003,COD,Dem. Rep. of the Congo,NAM,Namibia,SWE,Sweden,6,"[25.0, 0.0]","[17.0, -22.0]","[15.0, 62.0]"
14,2003,SDN,Sudan,ZAF,South Africa,CAN,Canada,1,"[30.0, 15.0]","[24.0, -29.0]","[-95.0, 60.0]"
15,2003,COD,Dem. Rep. of the Congo,ZAF,South Africa,SWE,Sweden,4,"[25.0, 0.0]","[24.0, -29.0]","[15.0, 62.0]"
16,2003,COD,Dem. Rep. of the Congo,ZMB,Zambia,CAN,Canada,75,"[25.0, 0.0]","[30.0, -15.0]","[-95.0, 60.0]"
17,2003,SDN,Sudan,ZAF,South Africa,SWE,Sweden,4,"[30.0, 15.0]","[24.0, -29.0]","[15.0, 62.0]"
18,2003,SDN,Sudan,ZMB,Zambia,CAN,Canada,3,"[30.0, 15.0]","[30.0, -15.0]","[-95.0, 60.0]"
19,2003,COD,Dem. Rep. of the Congo,ZAF,South Africa,AUT,Austria,2,"[25.0, 0.0]","[24.0, -29.0]","[13.3333, 47.3333]"
20,2004,SOM,Somalia,ZMB,Zambia,AUS,Australia,4,"[49.0, 10.0]","[30.0, -15.0]","[133.0, -27.0]"
21,2004,COD,Dem. Rep. of the Congo,NAM,Namibia,CAN,Canada,4,"[25.0, 0.0]","[17.0, -22.0]","[-95.0, 60.0]"
22,2004,COD,Dem. Rep. of the Congo,ZAF,South Africa,SWE,Sweden,5,"[25.0, 0.0]","[24.0, -29.0]","[15.0, 62.0]"
