,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
0,2003,IRQ,Iraq,AZE,Azerbaijan,CAN,Canada,5,[44. 33.],[47.5 40.5],[-95.  60.]
1,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,AUT,Austria,1,0.0,[35. 39.],[13.3333 47.3333]
2,2003,AFG,Afghanistan,AZE,Azerbaijan,USA,United States of America,34,[65. 33.],[47.5 40.5],
3,2003,ERI,Eritrea,TUR,Turkey,CAN,Canada,2,[39. 15.],[35. 39.],[-95.  60.]
4,2003,SDN,Sudan,TUR,Turkey,SWE,Sweden,1,[30. 15.],[35. 39.],[15. 62.]
5,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,NOR,Norway,165,,[35. 39.],[10. 62.]
6,2003,SOM,Somalia,TUR,Turkey,USA,United States of America,2,[49. 10.],[35. 39.],
7,2003,SOM,Somalia,AZE,Azerbaijan,CAN,Canada,3,[49. 10.],[47.5 40.5],[-95.  60.]
8,2003,IRN,Iran (Islamic Rep. of),AZE,Azerbaijan,USA,United States of America,2,,[47.5 40.5],
9,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,CAN,Canada,426,,[35. 39.],[-95.  60.]
10,2003,IRN,Iran (Islamic Rep. of),BIH,Bosnia and Herzegovina,AUS,Australia,1,,[18. 44.],[133. -27.]
11,2003,AFG,Afghanistan,UKR,Ukraine,SWE,Sweden,30,[65. 33.],[32. 49.],[15. 62.]
12,2003,AFG,Afghanistan,BLR,Belarus,DNK,Denmark,2,[65. 33.],[28. 53.],[10. 56.]
13,2003,IRQ,Iraq,TUR,Turkey,NOR,Norway,15,[44. 33.],[35. 39.],[10. 62.]
14,2003,SDN,Sudan,TUR,Turkey,USA,United States of America,6,[30. 15.],[35. 39.],
15,2003,SDN,Sudan,AZE,Azerbaijan,CAN,Canada,1,[30. 15.],[47.5 40.5],[-95.  60.]
16,2003,IRN,Iran (Islamic Rep. of),BIH,Bosnia and Herzegovina,USA,United States of America,1,,[18. 44.],
17,2003,IRQ,Iraq,TUR,Turkey,CAN,Canada,100,[44. 33.],[35. 39.],[-95.  60.]
18,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,AUS,Australia,346,,[35. 39.],[133. -27.]
19,2003,SYR,Syrian Arab Rep.,UKR,Ukraine,SWE,Sweden,1,,[32. 49.],[15. 62.]
20,2003,AFG,Afghanistan,RUS,Russian Federation,DNK,Denmark,30,[65. 33.],[100.  60.],[10. 56.]
