,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
0,2003,IRQ,Iraq,AZE,Azerbaijan,CAN,Canada,5,"[44.0, 33.0]","[47.5, 40.5]","[-95.0, 60.0]"
1,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,AUT,Austria,1,"[53.0, 32.0]","[35.0, 39.0]","[13.3333, 47.3333]"
2,2003,AFG,Afghanistan,AZE,Azerbaijan,USA,United States of America,34,"[65.0, 33.0]","[47.5, 40.5]","[-97.0, 38.0]"
3,2003,ERI,Eritrea,TUR,Turkey,CAN,Canada,2,"[39.0, 15.0]","[35.0, 39.0]","[-95.0, 60.0]"
4,2003,SDN,Sudan,TUR,Turkey,SWE,Sweden,1,"[30.0, 15.0]","[35.0, 39.0]","[15.0, 62.0]"
5,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,NOR,Norway,165,"[53.0, 32.0]","[35.0, 39.0]","[10.0, 62.0]"
6,2003,SOM,Somalia,TUR,Turkey,USA,United States of America,2,"[49.0, 10.0]","[35.0, 39.0]","[-97.0, 38.0]"
7,2003,SOM,Somalia,AZE,Azerbaijan,CAN,Canada,3,"[49.0, 10.0]","[47.5, 40.5]","[-95.0, 60.0]"
8,2003,IRN,Iran (Islamic Rep. of),AZE,Azerbaijan,USA,United States of America,2,"[53.0, 32.0]","[47.5, 40.5]","[-97.0, 38.0]"
9,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,CAN,Canada,426,"[53.0, 32.0]","[35.0, 39.0]","[-95.0, 60.0]"
10,2003,IRN,Iran (Islamic Rep. of),BIH,Bosnia and Herzegovina,AUS,Australia,1,"[53.0, 32.0]","[18.0, 44.0]","[133.0, -27.0]"
11,2003,AFG,Afghanistan,UKR,Ukraine,SWE,Sweden,30,"[65.0, 33.0]","[32.0, 49.0]","[15.0, 62.0]"
12,2003,AFG,Afghanistan,BLR,Belarus,DNK,Denmark,2,"[65.0, 33.0]","[28.0, 53.0]","[10.0, 56.0]"
13,2003,IRQ,Iraq,TUR,Turkey,NOR,Norway,15,"[44.0, 33.0]","[35.0, 39.0]","[10.0, 62.0]"
14,2003,SDN,Sudan,TUR,Turkey,USA,United States of America,6,"[30.0, 15.0]","[35.0, 39.0]","[-97.0, 38.0]"
15,2003,SDN,Sudan,AZE,Azerbaijan,CAN,Canada,1,"[30.0, 15.0]","[47.5, 40.5]","[-95.0, 60.0]"
16,2003,IRN,Iran (Islamic Rep. of),BIH,Bosnia and Herzegovina,USA,United States of America,1,"[53.0, 32.0]","[18.0, 44.0]","[-97.0, 38.0]"
17,2003,IRQ,Iraq,TUR,Turkey,CAN,Canada,100,"[44.0, 33.0]","[35.0, 39.0]","[-95.0, 60.0]"
18,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,AUS,Australia,346,"[53.0, 32.0]","[35.0, 39.0]","[133.0, -27.0]"
19,2003,SYR,Syrian Arab Rep.,UKR,Ukraine,SWE,Sweden,1,"[38.0, 35.0]","[32.0, 49.0]","[15.0, 62.0]"
20,2003,AFG,Afghanistan,RUS,Russian Federation,DNK,Denmark,30,"[65.0, 33.0]","[100.0, 60.0]","[10.0, 56.0]"
21,2003,AFG,Afghanistan,UKR,Ukraine,NOR,Norway,16,"[65.0, 33.0]","[32.0, 49.0]","[10.0, 62.0]"
22,2003,AFG,Afghanistan,RUS,Russian Federation,GBR,United Kingdom of Great Britain and Northern Ireland,1,"[65.0, 33.0]","[100.0, 60.0]","[-2.0, 54.0]"
23,2003,AFG,Afghanistan,BLR,Belarus,NLD,Netherlands,2,"[65.0, 33.0]","[28.0, 53.0]","[5.75, 52.5]"
24,2003,AFG,Afghanistan,UKR,Ukraine,USA,United States of America,14,"[65.0, 33.0]","[32.0, 49.0]","[-97.0, 38.0]"
25,2003,IRQ,Iraq,ROU,Romania,CHE,Switzerland,1,"[44.0, 33.0]","[25.0, 46.0]","[8.0, 47.0]"
26,2003,IRN,Iran (Islamic Rep. of),BIH,Bosnia and Herzegovina,CAN,Canada,1,"[53.0, 32.0]","[18.0, 44.0]","[-95.0, 60.0]"
27,2003,COD,Dem. Rep. of the Congo,UKR,Ukraine,NOR,Norway,1,"[25.0, 0.0]","[32.0, 49.0]","[10.0, 62.0]"
28,2003,IRQ,Iraq,TUR,Turkey,DEU,Germany,65,"[44.0, 33.0]","[35.0, 39.0]","[9.0, 51.0]"
29,2003,AFG,Afghanistan,RUS,Russian Federation,USA,United States of America,325,"[65.0, 33.0]","[100.0, 60.0]","[-97.0, 38.0]"
30,2003,SOM,Somalia,TUR,Turkey,CAN,Canada,15,"[49.0, 10.0]","[35.0, 39.0]","[-95.0, 60.0]"
31,2003,IRQ,Iraq,TUR,Turkey,AUS,Australia,31,"[44.0, 33.0]","[35.0, 39.0]","[133.0, -27.0]"
32,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,DNK,Denmark,6,"[53.0, 32.0]","[35.0, 39.0]","[10.0, 56.0]"
33,2003,COD,Dem. Rep. of the Congo,UKR,Ukraine,USA,United States of America,1,"[25.0, 0.0]","[32.0, 49.0]","[-97.0, 38.0]"
34,2003,AFG,Afghanistan,TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,10,"[65.0, 33.0]","[35.0, 39.0]","[-2.0, 54.0]"
35,2003,AFG,Afghanistan,HRV,Croatia,NLD,Netherlands,1,"[65.0, 33.0]","[15.5, 45.1667]","[5.75, 52.5]"
36,2003,SOM,Somalia,RUS,Russian Federation,BRA,Brazil,3,"[49.0, 10.0]","[100.0, 60.0]","[-55.0, -10.0]"
37,2003,IRQ,Iraq,AZE,Azerbaijan,SWE,Sweden,4,"[44.0, 33.0]","[47.5, 40.5]","[15.0, 62.0]"
38,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,CHE,Switzerland,1,"[53.0, 32.0]","[35.0, 39.0]","[8.0, 47.0]"
39,2003,AFG,Afghanistan,RUS,Russian Federation,CAN,Canada,118,"[65.0, 33.0]","[100.0, 60.0]","[-95.0, 60.0]"
40,2003,COD,Dem. Rep. of the Congo,RUS,Russian Federation,USA,United States of America,3,"[25.0, 0.0]","[100.0, 60.0]","[-97.0, 38.0]"
41,2003,AFG,Afghanistan,UKR,Ukraine,CAN,Canada,7,"[65.0, 33.0]","[32.0, 49.0]","[-95.0, 60.0]"
42,2003,MMR,Myanmar,TUR,Turkey,AUS,Australia,1,"[98.0, 22.0]","[35.0, 39.0]","[133.0, -27.0]"
43,2003,IRQ,Iraq,TUR,Turkey,DNK,Denmark,3,"[44.0, 33.0]","[35.0, 39.0]","[10.0, 56.0]"
44,2003,IRN,Iran (Islamic Rep. of),UKR,Ukraine,USA,United States of America,4,"[53.0, 32.0]","[32.0, 49.0]","[-97.0, 38.0]"
45,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,13,"[53.0, 32.0]","[35.0, 39.0]","[-2.0, 54.0]"
46,2003,AFG,Afghanistan,RUS,Russian Federation,FIN,Finland,15,"[65.0, 33.0]","[100.0, 60.0]","[26.0, 64.0]"
47,2003,AFG,Afghanistan,RUS,Russian Federation,NLD,Netherlands,37,"[65.0, 33.0]","[100.0, 60.0]","[5.75, 52.5]"
48,2003,COD,Dem. Rep. of the Congo,UKR,Ukraine,BRA,Brazil,2,"[25.0, 0.0]","[32.0, 49.0]","[-55.0, -10.0]"
49,2003,SDN,Sudan,HRV,Croatia,SWE,Sweden,1,"[30.0, 15.0]","[15.5, 45.1667]","[15.0, 62.0]"
50,2003,IRQ,Iraq,TUR,Turkey,CHE,Switzerland,3,"[44.0, 33.0]","[35.0, 39.0]","[8.0, 47.0]"
51,2003,COD,Dem. Rep. of the Congo,RUS,Russian Federation,CAN,Canada,24,"[25.0, 0.0]","[100.0, 60.0]","[-95.0, 60.0]"
52,2003,IRQ,Iraq,RUS,Russian Federation,USA,United States of America,5,"[44.0, 33.0]","[100.0, 60.0]","[-97.0, 38.0]"
53,2003,COD,Dem. Rep. of the Congo,UKR,Ukraine,CAN,Canada,3,"[25.0, 0.0]","[32.0, 49.0]","[-95.0, 60.0]"
54,2003,SYR,Syrian Arab Rep.,TUR,Turkey,AUS,Australia,5,"[38.0, 35.0]","[35.0, 39.0]","[133.0, -27.0]"
55,2003,IRQ,Iraq,TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,6,"[44.0, 33.0]","[35.0, 39.0]","[-2.0, 54.0]"
56,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,FIN,Finland,168,"[53.0, 32.0]","[35.0, 39.0]","[26.0, 64.0]"
57,2003,COD,Dem. Rep. of the Congo,RUS,Russian Federation,NLD,Netherlands,2,"[25.0, 0.0]","[100.0, 60.0]","[5.75, 52.5]"
58,2003,AFG,Afghanistan,RUS,Russian Federation,SWE,Sweden,23,"[65.0, 33.0]","[100.0, 60.0]","[15.0, 62.0]"
59,2003,IRN,Iran (Islamic Rep. of),AZE,Azerbaijan,NOR,Norway,4,"[53.0, 32.0]","[47.5, 40.5]","[10.0, 62.0]"
60,2003,IRN,Iran (Islamic Rep. of),RUS,Russian Federation,CAN,Canada,4,"[53.0, 32.0]","[100.0, 60.0]","[-95.0, 60.0]"
61,2003,SOM,Somalia,RUS,Russian Federation,USA,United States of America,18,"[49.0, 10.0]","[100.0, 60.0]","[-97.0, 38.0]"
62,2003,IRN,Iran (Islamic Rep. of),UKR,Ukraine,CAN,Canada,1,"[53.0, 32.0]","[32.0, 49.0]","[-95.0, 60.0]"
63,2003,AFG,Afghanistan,UKR,Ukraine,GBR,United Kingdom of Great Britain and Northern Ireland,1,"[65.0, 33.0]","[32.0, 49.0]","[-2.0, 54.0]"
64,2003,IRQ,Iraq,TUR,Turkey,FIN,Finland,31,"[44.0, 33.0]","[35.0, 39.0]","[26.0, 64.0]"
65,2003,AFG,Afghanistan,TUR,Turkey,NLD,Netherlands,2,"[65.0, 33.0]","[35.0, 39.0]","[5.75, 52.5]"
66,2003,COD,Dem. Rep. of the Congo,RUS,Russian Federation,SWE,Sweden,1,"[25.0, 0.0]","[100.0, 60.0]","[15.0, 62.0]"
67,2003,AFG,Afghanistan,BLR,Belarus,NOR,Norway,2,"[65.0, 33.0]","[28.0, 53.0]","[10.0, 62.0]"
68,2003,IRQ,Iraq,RUS,Russian Federation,CAN,Canada,30,"[44.0, 33.0]","[100.0, 60.0]","[-95.0, 60.0]"
69,2003,SDN,Sudan,RUS,Russian Federation,USA,United States of America,5,"[30.0, 15.0]","[100.0, 60.0]","[-97.0, 38.0]"
70,2003,SOM,Somalia,UKR,Ukraine,CAN,Canada,8,"[49.0, 10.0]","[32.0, 49.0]","[-95.0, 60.0]"
71,2003,IRN,Iran (Islamic Rep. of),UKR,Ukraine,GBR,United Kingdom of Great Britain and Northern Ireland,1,"[53.0, 32.0]","[32.0, 49.0]","[-2.0, 54.0]"
72,2003,SOM,Somalia,TUR,Turkey,FIN,Finland,1,"[49.0, 10.0]","[35.0, 39.0]","[26.0, 64.0]"
73,2003,IRQ,Iraq,TUR,Turkey,NLD,Netherlands,1,"[44.0, 33.0]","[35.0, 39.0]","[5.75, 52.5]"
74,2003,AFG,Afghanistan,TUR,Turkey,SWE,Sweden,2,"[65.0, 33.0]","[35.0, 39.0]","[15.0, 62.0]"
75,2003,AFG,Afghanistan,RUS,Russian Federation,NOR,Norway,17,"[65.0, 33.0]","[100.0, 60.0]","[10.0, 62.0]"
76,2003,SOM,Somalia,RUS,Russian Federation,CAN,Canada,6,"[49.0, 10.0]","[100.0, 60.0]","[-95.0, 60.0]"
77,2003,AFG,Afghanistan,TUR,Turkey,USA,United States of America,29,"[65.0, 33.0]","[35.0, 39.0]","[-97.0, 38.0]"
78,2003,AFG,Afghanistan,AZE,Azerbaijan,CAN,Canada,92,"[65.0, 33.0]","[47.5, 40.5]","[-95.0, 60.0]"
79,2003,AFG,Afghanistan,UKR,Ukraine,NLD,Netherlands,19,"[65.0, 33.0]","[32.0, 49.0]","[5.75, 52.5]"
80,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,SWE,Sweden,135,"[53.0, 32.0]","[35.0, 39.0]","[15.0, 62.0]"
81,2003,AFG,Afghanistan,TUR,Turkey,NOR,Norway,19,"[65.0, 33.0]","[35.0, 39.0]","[10.0, 62.0]"
82,2003,IRQ,Iraq,AZE,Azerbaijan,NZL,New Zealand,17,"[44.0, 33.0]","[47.5, 40.5]","[174.0, -41.0]"
83,2003,SDN,Sudan,RUS,Russian Federation,CAN,Canada,13,"[30.0, 15.0]","[100.0, 60.0]","[-95.0, 60.0]"
84,2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,USA,United States of America,723,"[53.0, 32.0]","[35.0, 39.0]","[-97.0, 38.0]"
85,2003,IRN,Iran (Islamic Rep. of),AZE,Azerbaijan,CAN,Canada,17,"[53.0, 32.0]","[47.5, 40.5]","[-95.0, 60.0]"
86,2003,AFG,Afghanistan,TUR,Turkey,AUT,Austria,3,"[65.0, 33.0]","[35.0, 39.0]","[13.3333, 47.3333]"
