,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
0,2003,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,USA,United States of America,70,"[25.0, 0.0]","[-5.0, 8.0]","[-97.0, 38.0]"
1,2003,COD,Dem. Rep. of the Congo,GAB,Gabon,SWE,Sweden,1,"[25.0, 0.0]","[11.75, -1.0]","[15.0, 62.0]"
2,2003,COD,Dem. Rep. of the Congo,BEN,Benin,NLD,Netherlands,1,"[25.0, 0.0]","[2.25, 9.5]","[5.75, 52.5]"
3,2003,SDN,Sudan,GIN,Guinea,NOR,Norway,1,"[30.0, 15.0]","[-10.0, 11.0]","[10.0, 62.0]"
4,2003,COD,Dem. Rep. of the Congo,BEN,Benin,CAN,Canada,1,"[25.0, 0.0]","[2.25, 9.5]","[-95.0, 60.0]"
5,2003,SDN,Sudan,NGA,Nigeria,CAN,Canada,4,"[30.0, 15.0]","[8.0, 10.0]","[-95.0, 60.0]"
6,2003,COD,Dem. Rep. of the Congo,GHA,Ghana,AUS,Australia,1,"[25.0, 0.0]","[-2.0, 8.0]","[133.0, -27.0]"
7,2003,SDN,Sudan,GHA,Ghana,AUS,Australia,8,"[30.0, 15.0]","[-2.0, 8.0]","[133.0, -27.0]"
8,2004,COD,Dem. Rep. of the Congo,GHA,Ghana,USA,United States of America,4,"[25.0, 0.0]","[-2.0, 8.0]","[-97.0, 38.0]"
9,2004,SDN,Sudan,GHA,Ghana,USA,United States of America,1,"[30.0, 15.0]","[-2.0, 8.0]","[-97.0, 38.0]"
10,2004,COD,Dem. Rep. of the Congo,GHA,Ghana,GBR,United Kingdom of Great Britain and Northern Ireland,1,"[25.0, 0.0]","[-2.0, 8.0]","[-2.0, 54.0]"
11,2004,COD,Dem. Rep. of the Congo,GAB,Gabon,CAN,Canada,4,"[25.0, 0.0]","[11.75, -1.0]","[-95.0, 60.0]"
12,2004,SDN,Sudan,GHA,Ghana,GBR,United Kingdom of Great Britain and Northern Ireland,1,"[30.0, 15.0]","[-2.0, 8.0]","[-2.0, 54.0]"
13,2004,COD,Dem. Rep. of the Congo,GHA,Ghana,CAN,Canada,1,"[25.0, 0.0]","[-2.0, 8.0]","[-95.0, 60.0]"
14,2004,COD,Dem. Rep. of the Congo,NGA,Nigeria,CAN,Canada,1,"[25.0, 0.0]","[8.0, 10.0]","[-95.0, 60.0]"
15,2005,COD,Dem. Rep. of the Congo,NER,Niger,USA,United States of America,1,"[25.0, 0.0]","[8.0, 16.0]","[-97.0, 38.0]"
16,2005,COD,Dem. Rep. of the Congo,BEN,Benin,CAN,Canada,10,"[25.0, 0.0]","[2.25, 9.5]","[-95.0, 60.0]"
17,2005,COD,Dem. Rep. of the Congo,NGA,Nigeria,USA,United States of America,5,"[25.0, 0.0]","[8.0, 10.0]","[-97.0, 38.0]"
18,2005,ERI,Eritrea,BFA,Burkina Faso,CAN,Canada,6,"[39.0, 15.0]","[-2.0, 13.0]","[-95.0, 60.0]"
19,2005,SDN,Sudan,NGA,Nigeria,USA,United States of America,1,"[30.0, 15.0]","[8.0, 10.0]","[-97.0, 38.0]"
20,2005,COD,Dem. Rep. of the Congo,CMR,Cameroon,CAN,Canada,32,"[25.0, 0.0]","[12.0, 6.0]","[-95.0, 60.0]"
21,2005,SDN,Sudan,CMR,Cameroon,CAN,Canada,2,"[30.0, 15.0]","[12.0, 6.0]","[-95.0, 60.0]"
22,2005,COD,Dem. Rep. of the Congo,BEN,Benin,NLD,Netherlands,2,"[25.0, 0.0]","[2.25, 9.5]","[5.75, 52.5]"
23,2005,COD,Dem. Rep. of the Congo,CMR,Cameroon,NLD,Netherlands,5,"[25.0, 0.0]","[12.0, 6.0]","[5.75, 52.5]"
24,2005,ERI,Eritrea,BFA,Burkina Faso,USA,United States of America,6,"[39.0, 15.0]","[-2.0, 13.0]","[-97.0, 38.0]"
25,2005,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,19,"[25.0, 0.0]","[12.0, 6.0]","[-97.0, 38.0]"
26,2005,SDN,Sudan,GHA,Ghana,USA,United States of America,7,"[30.0, 15.0]","[-2.0, 8.0]","[-97.0, 38.0]"
27,2005,COD,Dem. Rep. of the Congo,NER,Niger,FIN,Finland,1,"[25.0, 0.0]","[8.0, 16.0]","[26.0, 64.0]"
28,2006,COD,Dem. Rep. of the Congo,CMR,Cameroon,FIN,Finland,3,"[25.0, 0.0]","[12.0, 6.0]","[26.0, 64.0]"
29,2006,COD,Dem. Rep. of the Congo,BEN,Benin,AUS,Australia,18,"[25.0, 0.0]","[2.25, 9.5]","[133.0, -27.0]"
30,2006,IRN,Iran (Islamic Rep. of),TCD,Chad,NLD,Netherlands,3,"[53.0, 32.0]","[19.0, 15.0]","[5.75, 52.5]"
31,2006,SDN,Sudan,GHA,Ghana,AUS,Australia,25,"[30.0, 15.0]","[-2.0, 8.0]","[133.0, -27.0]"
32,2006,COD,Dem. Rep. of the Congo,BEN,Benin,USA,United States of America,5,"[25.0, 0.0]","[2.25, 9.5]","[-97.0, 38.0]"
33,2006,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,10,"[25.0, 0.0]","[12.0, 6.0]","[-97.0, 38.0]"
34,2006,COD,Dem. Rep. of the Congo,BEN,Benin,CAN,Canada,6,"[25.0, 0.0]","[2.25, 9.5]","[-95.0, 60.0]"
35,2006,COD,Dem. Rep. of the Congo,BEN,Benin,NOR,Norway,7,"[25.0, 0.0]","[2.25, 9.5]","[10.0, 62.0]"
36,2006,SDN,Sudan,CMR,Cameroon,USA,United States of America,1,"[30.0, 15.0]","[12.0, 6.0]","[-97.0, 38.0]"
37,2006,COD,Dem. Rep. of the Congo,GHA,Ghana,CAN,Canada,4,"[25.0, 0.0]","[-2.0, 8.0]","[-95.0, 60.0]"
38,2006,COD,Dem. Rep. of the Congo,BEN,Benin,NLD,Netherlands,4,"[25.0, 0.0]","[2.25, 9.5]","[5.75, 52.5]"
39,2006,COD,Dem. Rep. of the Congo,CMR,Cameroon,NOR,Norway,1,"[25.0, 0.0]","[12.0, 6.0]","[10.0, 62.0]"
40,2006,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,USA,United States of America,22,"[25.0, 0.0]","[-5.0, 8.0]","[-97.0, 38.0]"
41,2006,SDN,Sudan,GHA,Ghana,CAN,Canada,14,"[30.0, 15.0]","[-2.0, 8.0]","[-95.0, 60.0]"
42,2006,COD,Dem. Rep. of the Congo,NER,Niger,USA,United States of America,1,"[25.0, 0.0]","[8.0, 16.0]","[-97.0, 38.0]"
43,2006,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,CAN,Canada,21,"[25.0, 0.0]","[-5.0, 8.0]","[-95.0, 60.0]"
44,2006,COD,Dem. Rep. of the Congo,SEN,Senegal,USA,United States of America,4,"[25.0, 0.0]","[-14.0, 14.0]","[-97.0, 38.0]"
45,2006,COD,Dem. Rep. of the Congo,NGA,Nigeria,CAN,Canada,2,"[25.0, 0.0]","[8.0, 10.0]","[-95.0, 60.0]"
46,2006,SDN,Sudan,SEN,Senegal,USA,United States of America,1,"[30.0, 15.0]","[-14.0, 14.0]","[-97.0, 38.0]"
47,2007,SOM,Somalia,BEN,Benin,USA,United States of America,3,"[49.0, 10.0]","[2.25, 9.5]","[-97.0, 38.0]"
48,2007,SDN,Sudan,GHA,Ghana,CAN,Canada,13,"[30.0, 15.0]","[-2.0, 8.0]","[-95.0, 60.0]"
49,2007,COD,Dem. Rep. of the Congo,NER,Niger,USA,United States of America,23,"[25.0, 0.0]","[8.0, 16.0]","[-97.0, 38.0]"
50,2007,COD,Dem. Rep. of the Congo,BFA,Burkina Faso,USA,United States of America,1,"[25.0, 0.0]","[-2.0, 13.0]","[-97.0, 38.0]"
51,2007,SOM,Somalia,NER,Niger,FIN,Finland,2,"[49.0, 10.0]","[8.0, 16.0]","[26.0, 64.0]"
52,2007,AFG,Afghanistan,CIV,Cote d'Ivoire,CAN,Canada,6,"[65.0, 33.0]","[-5.0, 8.0]","[-95.0, 60.0]"
53,2007,SOM,Somalia,NER,Niger,USA,United States of America,1,"[49.0, 10.0]","[8.0, 16.0]","[-97.0, 38.0]"
54,2007,COD,Dem. Rep. of the Congo,NGA,Nigeria,NLD,Netherlands,3,"[25.0, 0.0]","[8.0, 10.0]","[5.75, 52.5]"
55,2007,COD,Dem. Rep. of the Congo,CAF,Central African Rep.,USA,United States of America,83,"[25.0, 0.0]","[21.0, 7.0]","[-97.0, 38.0]"
56,2007,COD,Dem. Rep. of the Congo,BEN,Benin,AUS,Australia,34,"[25.0, 0.0]","[2.25, 9.5]","[133.0, -27.0]"
57,2007,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,CAN,Canada,32,"[25.0, 0.0]","[-5.0, 8.0]","[-95.0, 60.0]"
58,2007,SDN,Sudan,NER,Niger,USA,United States of America,5,"[30.0, 15.0]","[8.0, 16.0]","[-97.0, 38.0]"
59,2007,SDN,Sudan,CAF,Central African Rep.,USA,United States of America,5,"[30.0, 15.0]","[21.0, 7.0]","[-97.0, 38.0]"
60,2007,COD,Dem. Rep. of the Congo,CMR,Cameroon,AUS,Australia,56,"[25.0, 0.0]","[12.0, 6.0]","[133.0, -27.0]"
61,2007,COD,Dem. Rep. of the Congo,NGA,Nigeria,CAN,Canada,85,"[25.0, 0.0]","[8.0, 10.0]","[-95.0, 60.0]"
62,2007,SDN,Sudan,NGA,Nigeria,USA,United States of America,1,"[30.0, 15.0]","[8.0, 10.0]","[-97.0, 38.0]"
