Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2015,SOM,Somalia,UGA,Uganda,USA,United States of America,196
2015,COD,Dem. Rep. of the Congo,UGA,Uganda,CAN,Canada,14
2015,COD,Dem. Rep. of the Congo,KEN,Kenya,GBR,United Kingdom of Great Britain and Northern Ireland,4
2015,COD,Dem. Rep. of the Congo,UGA,Uganda,FIN,Finland,10
2015,COD,Dem. Rep. of the Congo,BDI,Burundi,USA,United States of America,3009
2015,COD,Dem. Rep. of the Congo,KEN,Kenya,NLD,Netherlands,45
2015,IRN,Iran (Islamic Rep. of),KEN,Kenya,USA,United States of America,1
2015,SYR,Syrian Arab Rep.,KEN,Kenya,SWE,Sweden,2
2015,SDN,Sudan,UGA,Uganda,USA,United States of America,4
2015,SOM,Somalia,UGA,Uganda,CAN,Canada,1
2015,SOM,Somalia,KEN,Kenya,FIN,Finland,6
2015,SOM,Somalia,KEN,Kenya,GBR,United Kingdom of Great Britain and Northern Ireland,182
2015,COD,Dem. Rep. of the Congo,COG,Congo,USA,United States of America,99
2015,COD,Dem. Rep. of the Congo,BDI,Burundi,AUS,Australia,8
2015,ERI,Eritrea,KEN,Kenya,NLD,Netherlands,3
2015,SOM,Somalia,KEN,Kenya,USA,United States of America,3598
2015,COD,Dem. Rep. of the Congo,BDI,Burundi,CAN,Canada,33
2015,ERI,Eritrea,SDN,Sudan,ITA,Italy,64
2015,COD,Dem. Rep. of the Congo,RWA,Rwanda,SWE,Sweden,10
2015,ERI,Eritrea,ETH,Ethiopia,AUS,Australia,21
2015,ERI,Eritrea,DJI,Djibouti,USA,United States of America,77
2015,COD,Dem. Rep. of the Congo,BDI,Burundi,NOR,Norway,6
2015,SOM,Somalia,KEN,Kenya,NLD,Netherlands,3
2015,SDN,Sudan,KEN,Kenya,USA,United States of America,535
2015,COD,Dem. Rep. of the Congo,COG,Congo,CAN,Canada,1
2015,ERI,Eritrea,SSD,South Sudan,SWE,Sweden,1
2016,COD,Dem. Rep. of the Congo,KEN,Kenya,GBR,United Kingdom of Great Britain and Northern Ireland,19
2016,ERI,Eritrea,DJI,Djibouti,USA,United States of America,30
2016,COD,Dem. Rep. of the Congo,RWA,Rwanda,USA,United States of America,4033
