Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2012,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,USA,United States of America,60
2012,SOM,Somalia,BWA,Botswana,SWE,Sweden,3
2012,COD,Dem. Rep. of the Congo,ZAF,South Africa,CAN,Canada,46
2012,COD,Dem. Rep. of the Congo,MOZ,Mozambique,AUS,Australia,83
2012,COD,Dem. Rep. of the Congo,MWI,Malawi,USA,United States of America,171
2012,COD,Dem. Rep. of the Congo,ZAF,South Africa,SWE,Sweden,1
2012,SOM,Somalia,ZAF,South Africa,CAN,Canada,134
2012,COD,Dem. Rep. of the Congo,ZAF,South Africa,AUS,Australia,6
2012,SOM,Somalia,MWI,Malawi,USA,United States of America,3
2012,SOM,Somalia,ZAF,South Africa,SWE,Sweden,1
2012,COD,Dem. Rep. of the Congo,ZMB,Zambia,CAN,Canada,278
2012,COD,Dem. Rep. of the Congo,MWI,Malawi,NOR,Norway,4
2012,ERI,Eritrea,ZAF,South Africa,AUS,Australia,1
2012,COD,Dem. Rep. of the Congo,MOZ,Mozambique,USA,United States of America,60
2012,SOM,Somalia,ZMB,Zambia,CAN,Canada,1
2012,COD,Dem. Rep. of the Congo,ZAF,South Africa,NOR,Norway,15
2012,SOM,Somalia,ZAF,South Africa,IRL,Ireland,2
2012,COD,Dem. Rep. of the Congo,ZAF,South Africa,USA,United States of America,60
2012,AFG,Afghanistan,ZAF,South Africa,NLD,Netherlands,8
2012,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,CAN,Canada,11
2012,SOM,Somalia,ZAF,South Africa,NOR,Norway,9
2012,ERI,Eritrea,ZAF,South Africa,USA,United States of America,4
2012,COD,Dem. Rep. of the Congo,AGO,Angola,CAN,Canada,18
2013,COD,Dem. Rep. of the Congo,BWA,Botswana,CAN,Canada,19
2013,SOM,Somalia,ZWE,Zimbabwe,USA,United States of America,1
2013,SOM,Somalia,ZAF,South Africa,NOR,Norway,4
2013,COD,Dem. Rep. of the Congo,NAM,Namibia,AUS,Australia,51
2013,COD,Dem. Rep. of the Congo,ZMB,Zambia,NLD,Netherlands,12
2013,COD,Dem. Rep. of the Congo,MOZ,Mozambique,USA,United States of America,134
2013,SOM,Somalia,BWA,Botswana,CAN,Canada,15
2013,COD,Dem. Rep. of the Congo,ZMB,Zambia,NOR,Norway,1
2013,SDN,Sudan,NAM,Namibia,AUS,Australia,2
2013,COD,Dem. Rep. of the Congo,NAM,Namibia,USA,United States of America,245
2013,SOM,Somalia,MWI,Malawi,CAN,Canada,1
2013,COD,Dem. Rep. of the Congo,ZMB,Zambia,BEL,Belgium,2
2013,COD,Dem. Rep. of the Congo,ZAF,South Africa,AUS,Australia,28
2013,ERI,Eritrea,NAM,Namibia,USA,United States of America,1
2013,COD,Dem. Rep. of the Congo,ZAF,South Africa,CAN,Canada,90
2013,ERI,Eritrea,ZAF,South Africa,AUS,Australia,1
2013,COD,Dem. Rep. of the Congo,ZAF,South Africa,USA,United States of America,320
2013,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,CHL,Chile,3
2013,ERI,Eritrea,ZAF,South Africa,CAN,Canada,3
2013,COD,Dem. Rep. of the Congo,MWI,Malawi,FIN,Finland,105
2013,COD,Dem. Rep. of the Congo,NAM,Namibia,DNK,Denmark,4
2013,SOM,Somalia,ZAF,South Africa,AUS,Australia,2
2013,ERI,Eritrea,ZAF,South Africa,USA,United States of America,8
2013,SOM,Somalia,ZAF,South Africa,CAN,Canada,114
2013,SOM,Somalia,ZAF,South Africa,FIN,Finland,1
2013,COD,Dem. Rep. of the Congo,ZAF,South Africa,GBR,United Kingdom of Great Britain and Northern Ireland,3
2013,SOM,Somalia,ZAF,South Africa,DNK,Denmark,1
2013,COD,Dem. Rep. of the Congo,ZMB,Zambia,AUS,Australia,99
2013,SOM,Somalia,ZAF,South Africa,USA,United States of America,770
2013,COD,Dem. Rep. of the Congo,ZMB,Zambia,CAN,Canada,88
2013,COD,Dem. Rep. of the Congo,ZMB,Zambia,FIN,Finland,61
2013,COD,Dem. Rep. of the Congo,BWA,Botswana,USA,United States of America,7
2013,COD,Dem. Rep. of the Congo,ZMB,Zambia,DNK,Denmark,1
2013,COD,Dem. Rep. of the Congo,ZMB,Zambia,USA,United States of America,383
2013,SOM,Somalia,ZMB,Zambia,CAN,Canada,4
2013,SOM,Somalia,ZMB,Zambia,FIN,Finland,7
2013,SOM,Somalia,BWA,Botswana,USA,United States of America,45
2013,SOM,Somalia,ZMB,Zambia,USA,United States of America,12
2013,COD,Dem. Rep. of the Congo,ZAF,South Africa,ISL,Iceland,1
2013,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,CAN,Canada,76
2013,COD,Dem. Rep. of the Congo,MWI,Malawi,USA,United States of America,333
2013,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,USA,United States of America,312
2013,COD,Dem. Rep. of the Congo,ZMB,Zambia,SWE,Sweden,3
2013,COD,Dem. Rep. of the Congo,BWA,Botswana,AUS,Australia,70
2013,SOM,Somalia,MWI,Malawi,USA,United States of America,8
2013,ERI,Eritrea,ZWE,Zimbabwe,USA,United States of America,4
2013,SOM,Somalia,ZMB,Zambia,IRL,Ireland,5
2013,COD,Dem. Rep. of the Congo,MWI,Malawi,AUS,Australia,124
2013,COD,Dem. Rep. of the Congo,ZAF,South Africa,NLD,Netherlands,5
2013,SDN,Sudan,MWI,Malawi,USA,United States of America,1
2014,COD,Dem. Rep. of the Congo,MWI,Malawi,SWE,Sweden,6
2014,COD,Dem. Rep. of the Congo,ZMB,Zambia,CHE,Switzerland,2
2014,COD,Dem. Rep. of the Congo,ZMB,Zambia,FIN,Finland,83
2014,COD,Dem. Rep. of the Congo,BWA,Botswana,CAN,Canada,36
2014,COD,Dem. Rep. of the Congo,ZMB,Zambia,USA,United States of America,817
2014,SOM,Somalia,ZMB,Zambia,DNK,Denmark,1
2014,SDN,Sudan,ZAF,South Africa,CAN,Canada,2
2014,COD,Dem. Rep. of the Congo,NAM,Namibia,SWE,Sweden,5
2014,COD,Dem. Rep. of the Congo,BWA,Botswana,USA,United States of America,11
2014,SOM,Somalia,BWA,Botswana,CAN,Canada,28
2014,COD,Dem. Rep. of the Congo,NAM,Namibia,NLD,Netherlands,4
2014,COD,Dem. Rep. of the Congo,ZMB,Zambia,CAN,Canada,131
2014,COD,Dem. Rep. of the Congo,ZAF,South Africa,SWE,Sweden,4
2014,SOM,Somalia,BWA,Botswana,USA,United States of America,16
2014,SDN,Sudan,BWA,Botswana,CAN,Canada,7
2014,SOM,Somalia,BWA,Botswana,NOR,Norway,4
2014,COD,Dem. Rep. of the Congo,ZAF,South Africa,NLD,Netherlands,1
2014,SOM,Somalia,ZMB,Zambia,CAN,Canada,6
2014,COD,Dem. Rep. of the Congo,ZMB,Zambia,SWE,Sweden,21
2014,COD,Dem. Rep. of the Congo,MWI,Malawi,USA,United States of America,443
2014,AFG,Afghanistan,MDG,Madagascar,CAN,Canada,1
2014,SOM,Somalia,ZAF,South Africa,NOR,Norway,3
2014,COD,Dem. Rep. of the Congo,ZMB,Zambia,NLD,Netherlands,13
2014,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,CAN,Canada,65
2014,SOM,Somalia,MWI,Malawi,USA,United States of America,9
2014,COD,Dem. Rep. of the Congo,MDG,Madagascar,CAN,Canada,1
2014,COD,Dem. Rep. of the Congo,ZMB,Zambia,NOR,Norway,6
2014,COD,Dem. Rep. of the Congo,MOZ,Mozambique,USA,United States of America,17
2014,COD,Dem. Rep. of the Congo,MWI,Malawi,CAN,Canada,35
2014,SOM,Somalia,ZMB,Zambia,NOR,Norway,6
2014,COD,Dem. Rep. of the Congo,NAM,Namibia,USA,United States of America,124
2014,COD,Dem. Rep. of the Congo,ZMB,Zambia,GBR,United Kingdom of Great Britain and Northern Ireland,4
2014,COD,Dem. Rep. of the Congo,BWA,Botswana,AUS,Australia,2
2014,COD,Dem. Rep. of the Congo,MOZ,Mozambique,CAN,Canada,70
2014,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,USA,United States of America,211
2014,SOM,Somalia,NAM,Namibia,USA,United States of America,1
2014,SOM,Somalia,BWA,Botswana,DNK,Denmark,4
2014,COD,Dem. Rep. of the Congo,MWI,Malawi,AUS,Australia,139
2014,COD,Dem. Rep. of the Congo,NAM,Namibia,CAN,Canada,263
2014,SDN,Sudan,ZWE,Zimbabwe,USA,United States of America,3
2014,COD,Dem. Rep. of the Congo,ZAF,South Africa,USA,United States of America,181
2014,SOM,Somalia,BWA,Botswana,FIN,Finland,3
2014,COD,Dem. Rep. of the Congo,NAM,Namibia,DNK,Denmark,8
2014,SOM,Somalia,NAM,Namibia,CAN,Canada,4
2014,COD,Dem. Rep. of the Congo,AGO,Angola,CAN,Canada,8
2014,ERI,Eritrea,ZAF,South Africa,USA,United States of America,7
2014,COD,Dem. Rep. of the Congo,MWI,Malawi,FIN,Finland,108
2014,SOM,Somalia,ZAF,South Africa,DNK,Denmark,6
2014,COD,Dem. Rep. of the Congo,ZAF,South Africa,CAN,Canada,92
