Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2004,SOM,Somalia,IND,India,GBR,United Kingdom of Great Britain and Northern Ireland,2
2004,AFG,Afghanistan,IND,India,NLD,Netherlands,34
2004,ERI,Eritrea,THA,Thailand,USA,United States of America,1
2004,AFG,Afghanistan,KAZ,Kazakhstan,FIN,Finland,8
2005,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),CAN,Canada,380
2005,SOM,Somalia,IND,India,USA,United States of America,14
2005,MMR,Myanmar,THA,Thailand,FIN,Finland,477
2005,AFG,Afghanistan,PAK,Pakistan,USA,United States of America,99
2005,SYR,Syrian Arab Rep.,PAK,Pakistan,NLD,Netherlands,8
2005,MMR,Myanmar,LKA,Sri Lanka,SWE,Sweden,1
2005,IRN,Iran (Islamic Rep. of),CHN,China,NOR,Norway,1
2005,MMR,Myanmar,THA,Thailand,NZL,New Zealand,153
2005,IRQ,Iraq,THA,Thailand,CAN,Canada,2
2005,IRQ,Iraq,LKA,Sri Lanka,AUS,Australia,4
2005,COD,Dem. Rep. of the Congo,HKG,"China, Hong Kong SAR",CAN,Canada,5
2005,AFG,Afghanistan,TJK,Tajikistan,USA,United States of America,172
2005,IRQ,Iraq,IRN,Iran (Islamic Rep. of),CAN,Canada,7
2005,IRN,Iran (Islamic Rep. of),KGZ,Kyrgyzstan,USA,United States of America,5
2005,IRN,Iran (Islamic Rep. of),CHN,China,NLD,Netherlands,1
2005,SOM,Somalia,THA,Thailand,FIN,Finland,2
2005,IRN,Iran (Islamic Rep. of),PAK,Pakistan,USA,United States of America,12
2005,MMR,Myanmar,THA,Thailand,NLD,Netherlands,13
2005,MMR,Myanmar,MYS,Malaysia,SWE,Sweden,52
2005,AFG,Afghanistan,IND,India,NOR,Norway,11
2005,MMR,Myanmar,MYS,Malaysia,AUS,Australia,218
2005,ERI,Eritrea,HKG,"China, Hong Kong SAR",CAN,Canada,2
2005,IRN,Iran (Islamic Rep. of),TJK,Tajikistan,USA,United States of America,17
