Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2013,SOM,Somalia,SLV,El Salvador,FIN,Finland,3
2013,SYR,Syrian Arab Rep.,CUB,Cuba,USA,United States of America,11
2013,IRN,Iran (Islamic Rep. of),VEN,Venezuela (Bolivarian Republic of),SWE,Sweden,4
2013,SDN,Sudan,SLV,El Salvador,FIN,Finland,36
2013,ERI,Eritrea,SLV,El Salvador,USA,United States of America,3
2013,SOM,Somalia,SLV,El Salvador,USA,United States of America,3
2013,SDN,Sudan,SLV,El Salvador,USA,United States of America,70
2013,AFG,Afghanistan,ECU,Ecuador,BRA,Brazil,1
2013,SOM,Somalia,SLV,El Salvador,FRA,France,8
2013,COD,Dem. Rep. of the Congo,TTO,Trinidad and Tobago,USA,United States of America,1
2013,SDN,Sudan,SLV,El Salvador,FRA,France,13
2013,IRN,Iran (Islamic Rep. of),CUB,Cuba,CAN,Canada,1
2014,SYR,Syrian Arab Rep.,CUB,Cuba,USA,United States of America,2
2014,IRN,Iran (Islamic Rep. of),CUB,Cuba,CAN,Canada,1
2014,SYR,Syrian Arab Rep.,CUW,Curacao,USA,United States of America,2
2014,SOM,Somalia,CUB,Cuba,CAN,Canada,1
2014,SYR,Syrian Arab Rep.,JAM,Jamaica,USA,United States of America,3
2014,IRN,Iran (Islamic Rep. of),VEN,Venezuela (Bolivarian Republic of),ISL,Iceland,4
2014,SYR,Syrian Arab Rep.,LCA,Saint Lucia,USA,United States of America,1
2014,SYR,Syrian Arab Rep.,TTO,Trinidad and Tobago,USA,United States of America,5
2014,IRN,Iran (Islamic Rep. of),VEN,Venezuela (Bolivarian Republic of),SWE,Sweden,4
2014,SYR,Syrian Arab Rep.,CUB,Cuba,BRA,Brazil,2
2014,SYR,Syrian Arab Rep.,BRB,Barbados,USA,United States of America,1
2015,AFG,Afghanistan,CUB,Cuba,CAN,Canada,4
2015,SYR,Syrian Arab Rep.,ATG,Antigua and Barbuda,USA,United States of America,15
2015,SYR,Syrian Arab Rep.,ARG,Argentina,USA,United States of America,1
2015,IRN,Iran (Islamic Rep. of),VEN,Venezuela (Bolivarian Republic of),SWE,Sweden,2
2015,AFG,Afghanistan,CUB,Cuba,USA,United States of America,1
2015,IRN,Iran (Islamic Rep. of),CUB,Cuba,USA,United States of America,2
2015,SYR,Syrian Arab Rep.,TTO,Trinidad and Tobago,USA,United States of America,4
2016,ERI,Eritrea,CUB,Cuba,USA,United States of America,1
2016,SYR,Syrian Arab Rep.,CUB,Cuba,USA,United States of America,8
2016,ERI,Eritrea,CUB,Cuba,NOR,Norway,1
2016,AFG,Afghanistan,ECU,Ecuador,USA,United States of America,23
2016,IRN,Iran (Islamic Rep. of),ECU,Ecuador,USA,United States of America,1
2016,AFG,Afghanistan,CUB,Cuba,CAN,Canada,12
2016,IRQ,Iraq,ECU,Ecuador,USA,United States of America,11
2016,ERI,Eritrea,CUB,Cuba,CAN,Canada,6
2016,SYR,Syrian Arab Rep.,ECU,Ecuador,USA,United States of America,5
