Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2015,COD,Dem. Rep. of the Congo,MLI,Mali,CAN,Canada,11
2015,SDN,Sudan,SEN,Senegal,CAN,Canada,1
2015,ERI,Eritrea,LBR,Liberia,FRA,France,6
2015,SDN,Sudan,TCD,Chad,NOR,Norway,7
2015,COD,Dem. Rep. of the Congo,TCD,Chad,USA,United States of America,2
2015,SDN,Sudan,TCD,Chad,SWE,Sweden,21
2015,ERI,Eritrea,LBR,Liberia,NOR,Norway,5
2015,SDN,Sudan,TCD,Chad,USA,United States of America,840
2015,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,6
2015,SDN,Sudan,TCD,Chad,DNK,Denmark,10
2015,SDN,Sudan,BEN,Benin,CAN,Canada,1
2015,COD,Dem. Rep. of the Congo,GHA,Ghana,USA,United States of America,3
2015,COD,Dem. Rep. of the Congo,LBR,Liberia,DNK,Denmark,1
2015,SDN,Sudan,BFA,Burkina Faso,CAN,Canada,8
2015,SDN,Sudan,GHA,Ghana,USA,United States of America,23
2015,COD,Dem. Rep. of the Congo,LBR,Liberia,NLD,Netherlands,1
2015,SDN,Sudan,TCD,Chad,CAN,Canada,12
2015,COD,Dem. Rep. of the Congo,TGO,Togo,USA,United States of America,1
2016,COD,Dem. Rep. of the Congo,TGO,Togo,CAN,Canada,8
2016,SOM,Somalia,TCD,Chad,USA,United States of America,1
2016,SDN,Sudan,TCD,Chad,USA,United States of America,2216
2016,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,3
2016,SYR,Syrian Arab Rep.,CMR,Cameroon,USA,United States of America,4
2016,IRQ,Iraq,GHA,Ghana,USA,United States of America,4
2016,COD,Dem. Rep. of the Congo,BFA,Burkina Faso,CAN,Canada,2
2016,SDN,Sudan,GHA,Ghana,USA,United States of America,24
2016,SDN,Sudan,TCD,Chad,FRA,France,1
2016,ERI,Eritrea,BFA,Burkina Faso,CAN,Canada,1
2016,SOM,Somalia,TCD,Chad,SWE,Sweden,1
2016,SYR,Syrian Arab Rep.,GHA,Ghana,USA,United States of America,4
2016,COD,Dem. Rep. of the Congo,TCD,Chad,CAN,Canada,4
2016,SDN,Sudan,TCD,Chad,SWE,Sweden,8
2016,COD,Dem. Rep. of the Congo,NGA,Nigeria,USA,United States of America,3
2016,COD,Dem. Rep. of the Congo,CMR,Cameroon,CAN,Canada,3
2016,COD,Dem. Rep. of the Congo,TGO,Togo,USA,United States of America,4
2016,SDN,Sudan,TCD,Chad,DNK,Denmark,7
2016,ERI,Eritrea,SEN,Senegal,CAN,Canada,1
2016,SDN,Sudan,SEN,Senegal,CAN,Canada,3
2017,SDN,Sudan,TCD,Chad,CAN,Canada,144
2017,SDN,Sudan,GHA,Ghana,USA,United States of America,16
2017,SDN,Sudan,TCD,Chad,FIN,Finland,8
2017,SDN,Sudan,CMR,Cameroon,USA,United States of America,2
2017,SDN,Sudan,TCD,Chad,USA,United States of America,324
2017,SDN,Sudan,TCD,Chad,FRA,France,274
2017,SDN,Sudan,TCD,Chad,NOR,Norway,9
2017,SOM,Somalia,TCD,Chad,NOR,Norway,1
2017,SYR,Syrian Arab Rep.,NER,Niger,SWE,Sweden,1
2017,SYR,Syrian Arab Rep.,CMR,Cameroon,SWE,Sweden,4
2017,SDN,Sudan,TCD,Chad,SWE,Sweden,41
2018,ERI,Eritrea,NER,Niger,CHE,Switzerland,67
2018,SYR,Syrian Arab Rep.,NER,Niger,FRA,France,1
2018,ERI,Eritrea,NER,Niger,GBR,United Kingdom of Great Britain and Northern Ireland,84
2018,SOM,Somalia,NER,Niger,NLD,Netherlands,1
2018,COD,Dem. Rep. of the Congo,NGA,Nigeria,SWE,Sweden,2
2018,SOM,Somalia,NER,Niger,CHE,Switzerland,10
2018,SDN,Sudan,TCD,Chad,FRA,France,762
2018,SOM,Somalia,NER,Niger,GBR,United Kingdom of Great Britain and Northern Ireland,3
2018,ERI,Eritrea,NER,Niger,SWE,Sweden,262
2018,ERI,Eritrea,NER,Niger,CAN,Canada,82
2018,SOM,Somalia,NER,Niger,SWE,Sweden,41
2018,ERI,Eritrea,NER,Niger,FIN,Finland,57
2018,SOM,Somalia,NER,Niger,CAN,Canada,3
2018,SDN,Sudan,NER,Niger,SWE,Sweden,7
2018,SOM,Somalia,NER,Niger,BEL,Belgium,12
2018,SOM,Somalia,NER,Niger,FIN,Finland,5
2018,SDN,Sudan,NER,Niger,CAN,Canada,10
2018,ERI,Eritrea,NER,Niger,USA,United States of America,96
2018,SYR,Syrian Arab Rep.,NER,Niger,SWE,Sweden,2
2018,ERI,Eritrea,NER,Niger,BEL,Belgium,34
2018,SDN,Sudan,NER,Niger,FIN,Finland,8
2018,SDN,Sudan,TCD,Chad,CAN,Canada,19
2018,ERI,Eritrea,NER,Niger,DEU,Germany,279
2018,SOM,Somalia,NER,Niger,USA,United States of America,1
2018,SDN,Sudan,TCD,Chad,SWE,Sweden,75
2018,SDN,Sudan,TCD,Chad,FIN,Finland,4
2018,SYR,Syrian Arab Rep.,TCD,Chad,CAN,Canada,9
2018,SOM,Somalia,NER,Niger,DEU,Germany,47
2018,SDN,Sudan,NER,Niger,USA,United States of America,1
2018,SDN,Sudan,CMR,Cameroon,USA,United States of America,5
2018,ERI,Eritrea,NER,Niger,FRA,France,311
2018,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,7
2018,SOM,Somalia,NER,Niger,FRA,France,50
2018,COD,Dem. Rep. of the Congo,NGA,Nigeria,NOR,Norway,2
2018,SDN,Sudan,TCD,Chad,USA,United States of America,434
2018,SDN,Sudan,NER,Niger,FRA,France,11
2018,ERI,Eritrea,NER,Niger,NOR,Norway,1
2018,ERI,Eritrea,NER,Niger,NLD,Netherlands,27
2019,ERI,Eritrea,NER,Niger,NOR,Norway,2
2019,ERI,Eritrea,NER,Niger,USA,United States of America,77
2019,SOM,Somalia,NER,Niger,CAN,Canada,42
2019,SOM,Somalia,NER,Niger,LUX,Luxembourg,18
