Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2010,SYR,Syrian Arab Rep.,TUR,Turkey,USA,United States of America,1
2010,SOM,Somalia,RUS,Russian Federation,NOR,Norway,2
2010,IRN,Iran (Islamic Rep. of),TUR,Turkey,FIN,Finland,2
2010,AFG,Afghanistan,RUS,Russian Federation,USA,United States of America,160
2010,SOM,Somalia,UKR,Ukraine,PRT,Portugal,4
2010,IRQ,Iraq,TUR,Turkey,DNK,Denmark,2
2010,AFG,Afghanistan,AZE,Azerbaijan,FRA,France,6
2010,IRN,Iran (Islamic Rep. of),BLR,Belarus,USA,United States of America,1
2010,IRQ,Iraq,TUR,Turkey,CAN,Canada,276
2010,AFG,Afghanistan,UKR,Ukraine,USA,United States of America,43
2010,IRQ,Iraq,SRB,Serbia and Kosovo: S/RES/1244 (1999),NOR,Norway,4
2010,AFG,Afghanistan,TUR,Turkey,AUS,Australia,8
2010,SOM,Somalia,UKR,Ukraine,DNK,Denmark,2
2010,ERI,Eritrea,RUS,Russian Federation,USA,United States of America,1
2010,AFG,Afghanistan,RUS,Russian Federation,FRA,France,9
2010,ERI,Eritrea,MLT,Malta,USA,United States of America,288
2010,SOM,Somalia,TUR,Turkey,CAN,Canada,101
2010,COD,Dem. Rep. of the Congo,UKR,Ukraine,USA,United States of America,1
2010,AFG,Afghanistan,TUR,Turkey,NOR,Norway,2
2010,IRN,Iran (Islamic Rep. of),TUR,Turkey,AUS,Australia,200
2010,IRQ,Iraq,RUS,Russian Federation,USA,United States of America,2
2010,IRN,Iran (Islamic Rep. of),UKR,Ukraine,USA,United States of America,5
2010,SOM,Somalia,RUS,Russian Federation,FRA,France,1
2010,IRQ,Iraq,MLT,Malta,USA,United States of America,3
2010,SDN,Sudan,TUR,Turkey,CAN,Canada,9
2010,IRN,Iran (Islamic Rep. of),TUR,Turkey,NOR,Norway,237
2010,IRQ,Iraq,TUR,Turkey,AUS,Australia,502
2010,AFG,Afghanistan,TUR,Turkey,USA,United States of America,133
2010,AFG,Afghanistan,RUS,Russian Federation,SWE,Sweden,10
2010,IRN,Iran (Islamic Rep. of),BLR,Belarus,NLD,Netherlands,1
2010,IRQ,Iraq,UKR,Ukraine,USA,United States of America,5
2010,SDN,Sudan,RUS,Russian Federation,FRA,France,1
2010,SOM,Somalia,MLT,Malta,USA,United States of America,386
2010,IRQ,Iraq,TUR,Turkey,NOR,Norway,2
2010,AFG,Afghanistan,AZE,Azerbaijan,CAN,Canada,20
2010,COD,Dem. Rep. of the Congo,TUR,Turkey,USA,United States of America,1
2010,IRQ,Iraq,RUS,Russian Federation,SWE,Sweden,1
2010,AFG,Afghanistan,TUR,Turkey,NLD,Netherlands,4
2010,SOM,Somalia,UKR,Ukraine,USA,United States of America,7
