Year,Country of Origin (ISO),Country of Origin,Latitude - Country of Origin,Longitude - Country of Origin,Country of Asylum (ISO),Country of Asylum,Latitude - Country of Asylum,Longitude - Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Latitude - Country of Resettlement,Longitude - Country of Resettlement,Total departures (persons)
2013,ERI,Eritrea,15,39,SLV,El Salvador,13.8333,-88.9167,SWE,Sweden,62,15,7
2013,SDN,Sudan,15,30,SLV,El Salvador,13.8333,-88.9167,SWE,Sweden,62,15,13
2012,IRN,Iran,32,53,GRD,Grenada,12.1167,-61.6667,SWE,Sweden,62,15,3
2011,IRN,Iran,32,53,TTO,Trinidad and Tobago,11,-61,SWE,Sweden,62,15,4
2014,IRN,Iran,32,53,VEN,"Venezuela, Bolivarian Republic of",8,-66,SWE,Sweden,62,15,4
2015,IRN,Iran,32,53,VEN,"Venezuela, Bolivarian Republic of",8,-66,SWE,Sweden,62,15,2
2005,AFG,Afghanistan,33,65,CUB,Cuba,21.5,-80,GBR,United Kingdom,54,-2,1
2016,SYR,Syrian Arab Republic,35,38,ATG,Antigua and Barbuda,17.05,-61.8,USA,United States of America,38,-97,7
2017,SYR,Syrian Arab Republic,35,38,ATG,Antigua and Barbuda,17.05,-61.8,USA,United States of America,38,-97,7
2013,IRN,Iran,32,53,BHS,Bahamas,24.25,-76,USA,United States of America,38,-97,1
2015,SYR,Syrian Arab Republic,35,38,BRB,Barbados,13.1667,-59.5333,USA,United States of America,38,-97,1
2012,IRN,Iran,32,53,CRI,Costa Rica,10,-84,USA,United States of America,38,-97,1
2013,IRN,Iran,32,53,CRI,Costa Rica,10,-84,USA,United States of America,38,-97,1
2009,IRQ,Iraq,33,44,CRI,Costa Rica,10,-84,USA,United States of America,38,-97,3
2011,IRQ,Iraq,33,44,CRI,Costa Rica,10,-84,USA,United States of America,38,-97,4
2006,AFG,Afghanistan,33,65,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,8
2007,AFG,Afghanistan,33,65,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,1
2016,AFG,Afghanistan,33,65,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,1
2005,ERI,Eritrea,15,39,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,1
2006,ERI,Eritrea,15,39,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,1
2009,ERI,Eritrea,15,39,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,1
2010,ERI,Eritrea,15,39,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,1
2015,IRN,Iran,32,53,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,1
2016,IRN,Iran,32,53,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,1
2009,IRQ,Iraq,33,44,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,2
